GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SotoZapataMariaCamilaMP2025,org.mp.sesion06.circularlist,CircularList,6,70,1,1,2,17,2,8,1,8
SotoZapataMariaCamilaMP2025,org.mp.sesion08.estadistica,Estadistica,33,157,0,16,9,36,3,14,3,6
SotoZapataMariaCamilaMP2025,org.mp.sesion07.ordenacion,Ordenacion,4,200,2,24,2,45,3,16,1,5
SotoZapataMariaCamilaMP2025,org.mp.sesion04.list.linkedlist,LinkedList.Node,0,6,0,0,0,3,0,1,0,1
SotoZapataMariaCamilaMP2025,org.mp.sesion04.list.linkedlist,LinkedList,7,465,3,67,1,123,3,51,0,19
SotoZapataMariaCamilaMP2025,org.mp.sesion04.list.linkedlist,LinkedList.LinkedListIterator,20,70,3,7,5,17,2,7,0,4
SotoZapataMariaCamilaMP2025,org.mp.sesion01.baraja,CartaFrancesa,0,112,0,18,0,28,0,16,0,5
SotoZapataMariaCamilaMP2025,org.mp.sesion01.baraja,Carta,0,49,0,10,0,10,0,8,0,3
SotoZapataMariaCamilaMP2025,org.mp.sesion01.baraja,CartaEspanola,4,126,1,26,1,32,1,21,0,5
SotoZapataMariaCamilaMP2025,org.mp.sesion01.baraja,BarajaEspanola,0,66,0,4,0,12,0,5,0,3
SotoZapataMariaCamilaMP2025,org.mp.sesion01.baraja,Baraja,50,160,4,12,9,28,4,10,2,4
SotoZapataMariaCamilaMP2025,org.mp.sesion01.baraja,BarajaFrancesa,0,62,0,2,0,10,0,4,0,3
SotoZapataMariaCamilaMP2025,org.mp.sesion08.conjuntodatos,ConjuntoDatos,23,342,2,22,11,75,2,26,0,16
SotoZapataMariaCamilaMP2025,org.mp.sesion09.imagen,Imagen,14,197,7,17,5,37,10,17,3,12
SotoZapataMariaCamilaMP2025,org.mp.sesion09.imagen,XYFueraImagenException,0,3,0,0,0,2,0,1,0,1
SotoZapataMariaCamilaMP2025,org.mp.sesion09.imagen,ImagenDAO,12,378,2,28,7,84,3,17,1,4
SotoZapataMariaCamilaMP2025,org.mp.sesion09.imagen,Banda,29,22,0,0,11,7,5,4,5,4
SotoZapataMariaCamilaMP2025,org.mp.sesion03.matriz,MatrizEntera,0,28,0,0,0,6,0,5,0,5
SotoZapataMariaCamilaMP2025,org.mp.sesion03.matriz,MatrizEnteros,84,220,9,19,11,33,7,15,2,6
SotoZapataMariaCamilaMP2025,org.mp.sesion03.matriz,MatrizDouble,0,28,0,0,0,6,0,5,0,5
SotoZapataMariaCamilaMP2025,org.mp.sesion03.matriz,MatrizGenerica,49,223,8,22,8,37,6,16,1,6
